product_name,main_category_fr,additives_n,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
Chaussons tressés aux pommes,Pâtisseries,5.0,c,1090.0,10.7,2.0,24.7,2.0,3.33,0.647,9.0
Pain Burger Artisan,Boulange,0.0,b,1160.0,1.11,0.333,1.11,2.22,10.0,1.52,1.0
Quiche Lorraine,Plats préparés,3.0,b,478.0,6.79,2.86,0.714,0.357,5.36,0.499,2.0
"Pepsi, Nouveau goût !",Sodas,2.0,e,177.0,0.0,0.0,10.4,0.0,0.0,0.0254,13.0
Madeleines nature,Gâteaux,5.0,d,1900.0,23.0,2.5,26.0,1.5,6.0,0.66,12.0
Cakes Raisins,Gâteaux,5.0,d,1768.0,19.0,2.5,28.0,1.8,5.8,0.65,13.0
Sea Salt Potato Chips,Chips et frites,0.0,c,2243.0,32.14,3.57,0.0,3.6,7.14,0.9525,8.0
Jelly Fish,Bonbons,7.0,c,586.0,0.0,0.0,24.0,0.0,0.0,0.0762,6.0
Clam Chowder A Condensed Soup,Soupes,1.0,b,276.0,1.64,0.0,0.82,0.8,4.1,1.24968,2.0
Pizza Parlanno,Plats préparés,0.0,d,1070.0,12.0,4.51,3.76,0.752,9.77,1.22,11.0
Pur Soup' Velouté de légumes,Soupes,1.0,b,188.0,2.1,0.7,2.4,0.8,0.8,0.75,2.0
Mac 'n Cheese,Plats préparés,5.0,c,761.0,7.58,4.04,1.52,0.505,8.08,0.757,4.0
British plain flour,Farines,2.0,a,1554.0,1.3,0.2,1.5,3.1,9.4,0.0100076,-5.0
Rollmop Herrings,Harengs,1.0,d,725.0,6.9,1.4,15.2,0.5,12.1,2.2352,15.0
"grilled Cajun chicken breast, spicy wedges & sour cream",Plats à base de viande,3.0,a,354.0,1.6,0.6,2.7,1.3,8.9,0.25,-4.0
Pulled Pork & Chorizo Feijoada,Plats à base de viande,5.0,a,622.0,4.4,2.0,0.5,2.2,10.0,0.63,-4.0
Spaghetti sauce with mushrooms,Epicerie,0.0,b,162.0,0.0,0.0,5.17,1.72,1.72,0.81,1.0
Wrap Poulet à la Jamaïcaine,Sandwichs,7.0,a,811.0,5.3,1.9,1.3,2.3,10.0,0.6,-3.0
Haggis,Poissons et viandes et oeufs,0.0,d,1205.0,19.0,8.3,0.6,3.1,9.7,1.6764,14.0
Cream on Top strawberry Organic Yogurt,Yaourts,3.0,c,443.0,4.12,2.06,14.1,0.0,2.94,0.112,5.0
crips & colourful mixed leaf salad,Salad,0.0,a,79.0,0.5,0.1,1.8,1.9,1.2,0.1,-2.0
Spicy Boneless Chicken Wyngz,Produits panés,2.0,d,820.0,8.93,1.34,0.0,0.9,12.5,2.49428,12.0
cut green beans,Conserves,0.0,a,70.0,0.0,0.0,1.67,1.67,0.833,0.847,-4.0
